name,secondary,tags,parents,frequency,reusable
Darwin,,constellation,,,
Wallace,,constellation,,,
Mendel,,constellation,,,
Crick,,constellation,,,
Franklin,,constellation,,,
Watson,,constellation,,,
Pauling,,constellation,,,
Semmelweiss,,constellation,,,
Liebig,,constellation,,,
Lavoisier,,constellation,,,
Goodall,,constellation,,,
Ramachandran,,constellation,,,
,,,,,
Rutherford,,constellation,,,
Maxwell,,constellation,,,
Bohr,,constellation,,,
Pauli,,constellation,,,
Dirac,,constellation,,,
Curie,,constellation,,,
Meitner,,constellation,,,
Heisenberg,,constellation,,,
Schrodinger,,constellation,,,
Seaborg,,constellation,,,
Schwarzchild,,constellation,,,
Fermi,,constellation,,,
Sagan,,constellation,,,
Feynman,,constellation,,,
Newton,,constellation,,,
Leibniz,,constellation,,,
,,,,,
Hyun-ae,,star,,,
Mute,,star,,,
,,,,,
Elgava,,star,,,
Kalymnos,,star,,,
Nacio,,star,,,
Regeinland,,star,,,
Enemonzo,,star,,,
Zenito,,star,,,
Adis,,star,,,
Escondido,,star,,,
Libertas,,star,,,
Lugovalos,,star,,,
,,,,,
Trantor,,star,,,
Terminus,,star,,,
,,,,,
Azea,,star,,,
Braxi,,star,,,
Lugast,,star,,,
,,,,,
Vermillion,,star,,,
Lycus,,star,,,
Amritsar,,star,,,
Rantemario,,star,,,
Astarte,,star,,,
,,,,,
Tyrian,,planet,,,
Savarra,,planet,,,
Torm,,planet,,,
Gyges,,planet,,,
Camanis,,planet,,,
Ixmucane,,planet,,,
,,,,,
Manticore,,planet,,,
Gryphon,,planet,,,
Sphinx,,planet,,,
Basilisk,,planet,,,
Lynx,,planet,,,
Grayson,,planet,,,
Masada,,planet,,,
San Martin,,planet,,,
Spindle,,planet,,,
Mesa,,planet,,,
Zanzibar,,planet,,,
Alizon,,planet,,,
Erewhon,,planet,,,
,,,,,
Sumatra,,planet,,,
Sulawesi,,planet,,,
Java,,planet,,,
Borneo,,planet,,,
Luzon,,planet,,,
Mindanao,,planet,,,
Samar,,planet,,,
Palawan,,planet,,,
Honshu,,planet,,,
Hokkaido,,planet,,,
Kyushu,,planet,,,
Shikoku,,planet,,,
Tasmania,,planet,,,
Hispaniola,,planet,,,
Sakhalin,,planet,,,
Hainan,,planet,,,
Timor,,planet,,,
Sardinia,,planet,,,
Sicily,,planet,,,
,,,,,
Granminster,,planet,,,
Stormrook,,planet,,,
,,,,,
Iserlohn,,planet,,,
Fezzan,,planet,,,
Heinessen,,planet,,,
Yang,,planet,,,
Julian,,planet,,,
Reinhard,,planet,,,
Kircheis,,planet,,,
Oberstein,,planet,,,
Reuenthal,,planet,,,
Mittermeyer,,planet,,,
El Facil,,planet,,,
,,,,,
Anzha,,planet,,,
Zatar,,planet,,,
Feran,,planet,,,
Pazua,,planet,,,
Sechaveh,,planet,,,
Torzha,,planet,,,
Yiril,,planet,,,
Harkur,,planet,,,
Viton,,planet,,,
,,,,,
Milfeulle,,planet,,,
Ranpha,,planet,,,
Mint,,planet,,,
Forte,,planet,,,
Vanilla,,planet,,,
Chitose,,planet,,,
Almo,,planet,,,
Coco,,planet,,,
Kuromie,,planet,,,
Creta,,planet,,,
,,,,,
Ava,,planet,,,
Asaga,,planet,,,
Chigara,,planet,,,
Icari,,planet,,,
Claude,,planet,,,
Sola,,planet,,,
Kryska,,planet,,,
Cosette,,planet,,,
Sophita,,planet,,,
Grey,,planet,,,
Arcadius,,planet,,,
Cullen,,planet,,,
Fontana,,planet,,,
,,,,,
Emiya,,planet,,,
Tohsaka,,planet,,,
Matou,,planet,,,
Einzbern,,planet,,,
Kotomine,,planet,,,
Kuzuki,,planet,,,
,,,,,
Leary,,planet,,,
Mundy,,planet,,,
Hogg,,planet,,,
Tovera,,planet,,,
Woetjans,,planet,,,
Mon,,planet,,,
Barnes,,planet,,,
Dasi,,planet,,,
Dorst,,planet,,,
Vesey,,planet,,,
Anston,,planet,,,
,,,,,
Strangereal,,star,,,
Aurelia,,planet,Strangereal,,
Belka,,planet,Strangereal,,
Emmeria,,planet,Strangereal,,
Erusea,,planet,Strangereal,,
Estovakia,,planet,Strangereal,,
Leasath,,planet,Strangereal,,
Osea,,planet,Strangereal,,
Sapin,,planet,Strangereal,,
Usea,,planet,Strangereal,,
Yuktobania,,planet,Strangereal,,
Bulgurdarest,,moon,Osea,,
Delarus,,moon,Usea,,
Nordennavic,,moon,Emmeria,,
North Point,,moon,Usea,,
San Salvacion,,moon,Usea,,
Shilage,,moon,Erusea,,
Ustio,,moon,Belka,,
Voslage,,moon,Erusea,,
