event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
exerelin_market_captured,report,,,news,$market captured by $faction,"$faction forces have taken control of $market, previously held by $oldOwnerWithArticle.",The $oldOwner have $marketsRemaining planets/station(s) left.,,,,,
exerelin_market_captured,report_player,,,news,$market captured by $faction,"$faction forces led by $playerName have taken control of $market, previously held by $oldOwnerWithArticle.",The $oldOwner have $marketsRemaining planets/station(s) left.,,,,,
exerelin_faction_eliminated,normal,,,news,$defeatedFaction driven from Exerelin,"The $defeatedFaction have lost their last planet or station, and their surviving fleets are taking refuge elsewhere. Their ambitions in the Exerelin cluster are clearly over.",The $defeatedFaction are no longer a relevant player in the cluster.,,,,,
exerelin_faction_eliminated,player_defeat,,,news,$defeatedFaction driven from Exerelin,"The $defeatedFaction have lost their last planet or station, and their surviving fleets are taking refuge elsewhere. Their ambitions in the Exerelin cluster are clearly over.","With your faction beaten and scattered, you are on your own with whatever allies you still have or can cobble up, until such time as you can reassert $theDefeatedFaction's presence in the cluster.",,,,,
exerelin_faction_eliminated,player_victory,,,news,$defeatedFaction driven from Exerelin,"The $defeatedFaction have lost their last planet or station, and their surviving fleets are taking refuge elsewhere. Their ambitions in the Exerelin cluster are clearly over.","With the defeat of $theDefeatedFaction, your $victorFaction reigns supreme over the Exerelin cluster. Congratulations!",,,,,
exerelin_faction_respawned,new,,,news,$faction arrives in Exerelin,"The $faction are moving into the Exerelin cluster, with a foothold in $market.",,,,,,
exerelin_faction_respawned,respawned,,,news,$faction returns to Exerelin,"The $faction have regained a foothold in the Exerelin cluster, at $market.",,,,,,
,,,,,,,,,,,,
exerelin_faction_salary,report,,,player_intel_always,Monthly salary report: $paid received,You have received $paid from $employer for your continued services.,,,graphics/icons/intel/gain_credits.png,,,
,,,,,,,,,,,,
# diplomacy events,,,,,,,,,,,,
exerelin_diplomacy,official_aid,,,news,Aid package by $otherFaction for $faction,$otherFaction authorities have sent a charitable aid package to $faction citizens on $market. Local officials have expressed their gratitude.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,philanthropy,,,news,$otherFaction philanthropist donates to $faction,An influential private figure in $theOtherFaction has made a generous donation on $market. This has improved relations with $theFaction.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,culture_boom,,,news,$otherFaction cultural boom amongst $faction,"Popular media works from $theOtherFaction have gained a strong following on $market, leading to a $faction interest in strengthened cultural ties.","Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,celebrity_wedding,,,news,$faction-$otherFaction celebrity wedding,"The marriage of two celebrities from $theFaction and $theOtherFaction is the hottest new media sensation, with even official figures quick to play themselves into the matter.","Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,As seen in Civilization IV
exerelin_diplomacy,cooperation_deal,,,news,$faction-$otherFaction treaty signed,Officials of $theFaction and $theOtherFaction have signed an agreement to further cooperation on areas of mutual interest.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,helped_foil_terror,,,news,$otherFaction helps prevent terror attack on $market,Official statements by $theFaction praise $theOtherFaction for its assistance in foiling a terrorist plot on $market.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,extradition,,,news,Wanted $otherFaction criminal turned over by $faction,Police on $market have extradited a wanted $otherFaction criminal. Law enforcement officials have praised the cooperation of $faction authorities.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,cooperation_deal_major,,,news,$faction forms close pact with $otherFaction,$theFaction and $theOtherFaction have signed a new agreement for much closer military and trade associations.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,starcrossed,,,news,$faction-$otherFaction romance thrills public,"Media reports of a ""Romeo & Juliet"" forbidden romance between a couple from $theFaction and $otherFaction have captivated the public imagination, and led to a thawing of relations between the two factions.","Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,ceasefire,,,news,$faction and $otherFaction declare ceasefire,"Weary of the fighting, $theFaction and $theOtherFaction have agreed to a cessation of hostilities. Nevertheless, relations remain tense.","Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,peace_treaty,,,news,$faction signs peace treaty with $otherFaction,$theFaction and $theOtherFaction have set aside their differences and signed a lasting peace treaty.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
,,,,,,,,,,,,
# diplomacy events (negative),,,,,,,,,,,,
exerelin_diplomacy,diplomatic_blunder,,,news,$otherFaction diplomacy blunder with $faction,A diplomatic faux pas by a $otherFaction delegate has caused grave offence to $faction officials on $market.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,failed_deal,,,news,$faction-$otherFaction talks break down,"$otherFaction delegates walked out of a meeting at $market today, dissatisfied with the hard line taken by $faction negotiators. The incident has ruffled feathers on both sides.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
