id,trigger,conditions,script,text,options,notes
#RULESET_NAME Nexerelin,,,,,,
,,,,,,
# NGC options,,,,,,
ExerelinOnNewGameCreationStart,BeginNewGameCreation,!$doesFakeVariableExist score:999,"$isInIntro = true 0
$introPage = 1.0 0
FireAll ExerelinNGCIntroPage",,,override SS+ NGC
,,,,,,
ExerelinNGCIntroNextPage,NewGameOptionSelected,$option==exerelinNGCIntroNextPage,"$introPage++
FireAll ExerelinNGCIntroPage",,,
ExerelinNGCIntroPrevPage,NewGameOptionSelected,$option==exerelinNGCIntroPrevPage,"$introPage--
FireAll ExerelinNGCIntroPage",,,
,,,,,,
ExerelinNGCIntro1,ExerelinNGCIntroPage,"$introPage == 1.0
$isInIntro","SetShortcut exerelinNGCIntroNextPage RETURN
SetShortcut exerelinNGCIntroEnd ESCAPE",">>> GREETINGS, STARFARER <<<

Welcome to the Nexerelin mod for Starsector!

Nexerelin is essentially a 4X extension to the game. Factions within the sector will wage war, create alliances and compete to control a greater share of the sector.

Nexerelin is compatible with a large number of community-made faction mods, which you can add for a more varied gameplay experience.","exerelinNGCIntroNextPage:Next
exerelinNGCIntroEnd:Skip",$introPage needs to be a float
ExerelinNGCIntro2,ExerelinNGCIntroPage,"$introPage == 2.0
$isInIntro","SetShortcut exerelinNGCIntroNextPage RETURN
SetShortcut exerelinNGCIntroEnd ESCAPE","Your actions will gain or lose you influence with the factions in the Sector. The higher your influence with a faction, the greater access to their support and technology you will have.

At the start of the game, you pick a faction to join. You are a representative of your chosen faction, and your actions in the Sector will reflect on them. 

You can move to another faction later, if you can earn their trust. You can also choose to go it alone and set up your own empire.","exerelinNGCIntroNextPage:Next
exerelinNGCIntroPrevPage:Previous
exerelinNGCIntroEnd:Skip",
ExerelinNGCIntro3,ExerelinNGCIntroPage,"$introPage == 3.0
$isInIntro",SetShortcut exerelinNGCIntroEnd RETURN,Have fun and please leave any feedback on the Starsector forums :),"exerelinNGCIntroEnd:Start playing
exerelinNGCIntroPrevPage:Previous",
ExerelinNGCIntroEnd,NewGameOptionSelected,$option==exerelinNGCIntroEnd,"$isInIntro = false
FireAll ExerelinNGCStep1",,,
ExerelinNGCIntroDevStart,ExerelinNGCIntroPage,$global.isDevMode,,,"99:nex_NGCDevStart:>> (dev) quick start
100:nex_NGCDevStartFast:>> (dev) quick start no time pass",
,,,,,,
,,,,,,
ExerelinNewGameOptionsEnter,ExerelinNGCStep1,,"NGCGetExerelinDefaults
FireAll ExerelinNGCOptions",Configure the Sector?,,"make sure this runs once per new game, so that Exerelin sector generation data is set up properly"
ExerelinNewGameOptionsBackToMain,NewGameOptionSelected,$option==exerelinNGCOptionsBack,"Nex_VisualCustomPanel clear
FireAll ExerelinNGCOptions",,,
ExerelinNewGameOptionsPopulate,ExerelinNGCOptions,,SetShortcut exerelinNGCOptionsDone RETURN,,"exerelinNGCOptionsDone:Proceed
7:exerelinNGCSectorOptions:Sector generation
8:exerelinNGCFactionOptions:Faction settings
9:exerelinNGCOtherOptions:Other options",
ExerelinNGCListOptionEnableCorvusMode,ExerelinNGCOptions,!$corvusMode,"SetTooltip exerelinNGCEnableCorvusMode ""Sets whether to use the handcrafted core worlds (vanilla and from mods), or randomly generated systems. The Academy storyline will be disabled in random sector.""
SetTooltipHighlights exerelinNGCEnableCorvusMode ""Academy storyline"" disabled",,exerelinNGCEnableCorvusMode:Disable random core worlds,
ExerelinNGCListOptionDisableCorvusMode,ExerelinNGCOptions,$corvusMode,"SetTooltip exerelinNGCDisableCorvusMode ""Sets whether to use the handcrafted core worlds (vanilla and from mods), or randomly generated systems. The Academy storyline will be disabled in random sector.""
SetTooltipHighlights exerelinNGCDisableCorvusMode ""Academy storyline"" disabled",,exerelinNGCDisableCorvusMode:Enable random core worlds,
,,,,,,
ExerelinNewGameFactionConfig,ExerelinNGCFactionOptions,,"SetEnabled nex_NGCFactionToggleMenu true
SetShortcut exerelinNGCOptionsBack ESCAPE",,"nex_NGCFactionToggleMenu:Enable/disable factions
9:exerelinNGCOptionsBack:Back",
ExerelinNewGameFactionConfigCorvus,ExerelinNGCFactionOptions,$corvusMode,"SetEnabled nex_NGCFactionToggleMenu false
SetTooltip nex_NGCFactionToggleMenu ""Only works with random core worlds setting.""",,,
,,,,,,
ExerelinNewGameChoicesDev,ExerelinNGCOptions,$global.isDevMode,,,"99:nex_NGCDevStart:>> (dev) quick start
100:nex_NGCDevStartFast:>> (dev) quick start no time pass",
,,,,,,
ExerelinNewGameOptionsDone,NewGameOptionSelected,$option==exerelinNGCOptionsDone,FireBest ExerelinNGCStep2,,,
,,,,,,
nex_NGCFactionToggleMenu,NewGameOptionSelected,$option==nex_NGCFactionToggleMenu,"Nex_VisualCustomPanel create true
Nex_NGCFactionToggleV2 listFactions
SetShortcut nex_NGCFactionToggleMenu_leave ESCAPE",,nex_NGCFactionToggleMenu_leave:Back,
nex_NGCFactionToggleMenuLeave,NewGameOptionSelected,$option==nex_NGCFactionToggleMenu_leave,"Nex_NGCFactionToggleV2 processRecommendedSize
FireAll ExerelinNGCFactionOptions",,,
,,,,,,
ExerelinNGCSectorOptionsMenu,NewGameOptionSelected,$option==exerelinNGCSectorOptions,FireAll ExerelinNGCSectorOptions,,,
ExerelinNGCFactionOptionsMenu,NewGameOptionSelected,$option==exerelinNGCFactionOptions,FireAll ExerelinNGCFactionOptions,,,
ExerelinNGCOtherOptionsMenu,NewGameOptionSelected,$option==exerelinNGCOtherOptions,FireAll ExerelinNGCOtherOptions,,,
nex_NGCReaddTooltip,NexReaddVisualPanelTooltip,,Nex_VisualCustomPanel readdTooltip,,,
,,,,,,
nex_NGCCustomScenarioOption,ExerelinNGCOtherOptions,,"Nex_NGCCustomScenario menuOption
Nex_DynamicPaginatedOptions addOption nex_NGCCustomScenarioMenu ""Custom scenario – $nex_customScenarioName""",,,
,,,,,,
nex_NewGameSectorConfigNonCorvus,ExerelinNGCSectorOptions,!$corvusMode,$nex_ngcSectorGenSlidersSeen = true,,,
nex_NewGameSectorConfig,ExerelinNGCSectorOptions,,"Nex_NGCProcessSectorGenerationSliders create
SetTooltip exerelinNGCSetNumFactions ""Note: pirates and independents are always present, unless disabled in config""
SetShortcut exerelinNGCSectorOptionsBack ESCAPE
FireAll ExerelinNGCSectorOptionsBack",,,
nex_NewGameSectorConfigBack,NewGameOptionSelected,$option==exerelinNGCSectorOptionsBack,"Nex_NGCProcessSectorGenerationSliders save
FireAll ExerelinNGCOptions",,,
nex_NewGameSectorConfigReset,NewGameOptionSelected,$option==exerelinNGCSectorOptionsReset,"Nex_NGCProcessSectorGenerationSliders reset
FireAll ExerelinNGCSectorOptions",,,
,,,,,,
nex_NGCAddFactionOptionsMenu,ExerelinNGCFactionOptions,,"Nex_VisualCustomPanel create true
Nex_NGCPopulateCustomPanelOptions faction",,,
,,,,,,
nex_NGCAddOtherOptionsMenu,ExerelinNGCOtherOptions,,"Nex_VisualCustomPanel create true
Nex_NGCPopulateCustomPanelOptions other",,,
nex_NGCOtherOptionsBack,ExerelinNGCOtherOptions,,"Nex_DynamicPaginatedOptions addOptionAllPages exerelinNGCOptionsBack Back
Nex_DynamicPaginatedOptions addShortcut exerelinNGCOptionsBack ESCAPE",,,
nex_NGCOtherOptions_show,ExerelinNGCOtherOptions,,Nex_DynamicPaginatedOptions show,,,
,,,,,,
