id,ore,rare_ore,organics,volatiles,food
ore_sparse,,,,,
ore_moderate,3,,,,
ore_abundant,4,,,,
ore_rich,5,,,,
ore_ultrarich,6,,,,
,,,,,
rare_ore_sparse,,,,,
rare_ore_moderate,,2,,,
rare_ore_abundant,,3,,,
rare_ore_rich,,4,,,
rare_ore_ultrarich,,5,,,
,,,,,
volatiles_trace,,,,1,
volatiles_diffuse,,,,2,
volatiles_abundant,,,,3,
volatiles_plentiful,,,,4,
,,,,,
organics_trace,,,,,
organics_common,,,3,,
organics_abundant,,,4,,
organics_plentiful,,,5,,
,,,,,
farmland_poor,,,,,1
farmland_adequate,,,,,2
farmland_rich,,,,,3
farmland_bountiful,,,,,4
