id,ore,rare_ore,organics,volatiles,cache
asteroid,0.4,,,0.01,
ore_sparse,0.5,,,,
ore_moderate,1,,,,
ore_abundant,1.5,,,,
ore_rich,2,,,,
ore_ultrarich,2.5,,,,
,,,,,
rare_ore_sparse,,0.08,,,
rare_ore_moderate,,0.16,,,
rare_ore_abundant,,0.24,,,
rare_ore_rich,,0.32,,,
rare_ore_ultrarich,,0.4,,,
,,,,,
volatiles_trace,,,,0.1,
volatiles_diffuse,,,,0.2,
volatiles_abundant,,,,0.3,
volatiles_plentiful,,,,0.4,
,,,,,
organics_trace,,,0.2,,
organics_common,,,0.4,,
organics_abundant,,,0.6,,
organics_plentiful,,,0.8,,
,,,,,
ruins_scattered,,,,,0.25
ruins_widespread,,,,,0.5
ruins_extensive,,,,,0.75
ruins_vast,,,,,1
