id,faction,ibbNum
ssp_boss_lasher_b,ssp,1
ssp_boss_lasher_r,ssp,1
ssp_boss_cerberus,ssp,2
ssp_boss_mule,ssp,3
ssp_boss_tarsus,ssp,3
ssp_boss_beholder,ssp,4
ssp_boss_hammerhead,ssp,5
ssp_boss_sunder,ssp,5
tiandong_boss_wuzhang,tiandong,6
ssp_boss_falcon,ssp,7
ssp_boss_medusa,ssp,7
ssp_boss_eagle,ssp,8
#PACK IBB (no custom ships),pack,9
ssp_boss_onslaught_luddic_path,ssp,10
ssp_boss_dominator_luddic_path,ssp,10
ssp_boss_dominator,ssp,11
ssp_boss_brawler,ssp,11
diableavionics_IBBgulf,diableavionics,12
ssp_boss_atlas,ssp,13
ssp_boss_phaeton,ssp,13
ms_boss_charybdis,shadow_industry,14
ssp_boss_odyssey,ssp,15
ssp_boss_aurora,ssp,15
ii_boss_olympus,interstellarimperium,16
ii_boss_praetorian,interstellarimperium,16
swp_boss_frankenstein,17
ms_boss_mimir,shadow_industry,18
msp_boss_potniaBis,shadow_industry,18
ssp_boss_doom,ssp,19
ssp_boss_euryale,ssp,19
ssp_boss_afflictor,ssp,19
ssp_boss_shade,ssp,19
ssp_boss_astral,ssp,20
ssp_boss_wasp_wing,ssp,20
tem_boss_paladin,templars,21
ii_boss_dominus,interstellarimperium,22
tem_boss_archbishop,templars,23
ssp_boss_paragon,ssp,24
ssp_boss_hyperion,ssp,24
#neutrino_falken,neutrinocorp,0
